"Emergency","Module_Name","Modupe_Type","Value","Updated_at"
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",262433,2014-03-09
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",320565,2014-04-09
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",322132,2014-04-30
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",354799,2014-05-07
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",149010,2014-01-18
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",277573,2014-03-18
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",109547,2013-12-15
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",109659,2013-12-16
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",109743,2013-12-19
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",109793,2013-12-20
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",109806,2013-12-21
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",109907,2013-12-23
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",110021,2013-12-25
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",110228,2013-12-26
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",110466,2013-12-29
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",110632,2013-12-30
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",110906,2013-12-31
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",111207,2014-01-01
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",111750,2014-01-03
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",112138,2014-01-04
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",112621,2014-01-05
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",114587,2014-01-08
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",115359,2014-01-09
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",115895,2014-01-10
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",134155,2014-01-12
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",134606,2014-01-13
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",147367,2014-01-14
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",147765,2014-01-15
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",148261,2014-01-16
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",148532,2014-01-17
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",149798,2014-01-20
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",150546,2014-01-21
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",150963,2014-01-22
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",151980,2014-01-23
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",153261,2014-01-24
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",158132,2014-01-25
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",159393,2014-01-27
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",159840,2014-01-28
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",160405,2014-01-29
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",174436,2014-01-31
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",174869,2014-02-01
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",175067,2014-02-02
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",176166,2014-02-05
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",177788,2014-02-07
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",178537,2014-02-08
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",178928,2014-02-09
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",192486,2014-02-11
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",193737,2014-02-12
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",193906,2014-02-13
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",194364,2014-02-14
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",194762,2014-02-16
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",195073,2014-02-17
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",195243,2014-02-18
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",197793,2014-02-19
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",198507,2014-02-21
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",198641,2014-02-22
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",203623,2014-02-23
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",204001,2014-02-24
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",214082,2014-02-25
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",217720,2014-02-26
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",217999,2014-02-27
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",240423,2014-02-28
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",242604,2014-03-01
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",250951,2014-03-04
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",257638,2014-03-05
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",259177,2014-03-06
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",260418,2014-03-07
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",262057,2014-03-08
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",263349,2014-03-11
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",265850,2014-03-12
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",266128,2014-03-13
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",267956,2014-03-15
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",273479,2014-03-16
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",275645,2014-03-17
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",291018,2014-03-20
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",295372,2014-03-23
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",299981,2014-03-26
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",302151,2014-03-28
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",302968,2014-03-29
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",306087,2014-03-31
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",353719,2014-05-06
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",356559,2014-05-14
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",357589,2014-05-15
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",359472,2014-05-19
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",362646,2014-05-21
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",363676,2014-05-23
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",475721,2014-05-27
"southsudan","Refugees from South Sudan in neighbouring countries Total","Total Population & Demogrpahy",475768,2014-05-28
"syria","Persons awaiting registration","Total Population & Demogrpahy",66714,2014-06-09
"syria","Persons awaiting registration","Total Population & Demogrpahy",68088,2014-06-05
"syria","Persons awaiting registration","Total Population & Demogrpahy",69265,2014-06-05
"syria","Persons awaiting registration","Total Population & Demogrpahy",69265,2014-06-04
"syria","Persons awaiting registration","Total Population & Demogrpahy",70272,2014-06-03
"syria","Persons awaiting registration","Total Population & Demogrpahy",70521,2014-06-02
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",2775445,2014-06-09
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",133843,2012-08-07
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",137106,2012-08-08
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1605576,2013-07-10
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",104196,2012-07-06
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1224903,2013-04-26
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1234689,2013-05-12
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1235225,2013-04-29
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",2773436,2014-06-08
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",130820,2012-08-03
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",131307,2012-08-06
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1442971,2013-06-09
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1671373,2013-07-24
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1108364,2013-04-12
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1257460,2013-05-02
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",126657,2012-07-26
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1268412,2013-05-07
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1872067,2013-09-05
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1323904,2013-05-17
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",2771190,2014-06-05
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1370125,2013-05-23
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1985111,2013-09-23
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1528358,2013-06-25
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",115014,2012-07-19
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",115014,2012-07-18
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",130780,2012-08-01
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1323866,2013-05-18
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",2768031,2014-06-05
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1133087,2013-04-16
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1275768,2013-05-13
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",101912,2012-07-04
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",122541,2012-07-22
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1423807,2013-05-30
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",142658,2012-08-10
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",2767354,2014-06-04
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1324471,2013-05-19
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1337317,2013-05-20
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1087308,2013-04-09
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1403494,2013-05-27
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1416104,2013-06-04
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",2766369,2014-06-03
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",158716,2012-08-16
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1594804,2013-07-11
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1476497,2013-06-16
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1490186,2013-06-17
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",128081,2012-07-30
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1437839,2013-06-06
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",208140,2012-09-05
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1456412,2013-06-11
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1464755,2013-06-12
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",2764306,2014-06-02
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1064495,2013-04-06
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",106691,2012-07-10
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",122304,2012-07-20
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1552994,2013-06-27
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1555426,2013-06-28
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1499819,2013-06-19
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1512160,2013-06-21
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1516510,2013-06-23
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1574346,2013-07-03
"syria","Registered Syrian Refugees","Total Population & Demogrpahy",1579339,2013-07-04
